Order ID,Order item position,Title,Price,Tax Rate,Customer ID,Customer email,Customer create date,Invoice ID,Invoice create date
1232580,1,Simple multiuser,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1812,Tue Oct 04 12:43:32 CEST 2022
1232581,1,Credit based test,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1814,Wed Oct 05 08:31:02 CEST 2022
1232596,1,One product, two-step offer,12.0,19.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1904,Fri Nov 04 13:39:03 CET 2022
1232597,1,One product, two-step offer,12.0,19.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1905,Fri Nov 04 13:41:39 CET 2022
1232612,1,Test non simple sub multiuser,22.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1951,Thu Nov 17 09:15:47 CET 2022
1232612,2,Test non simple sub multiuser,22.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1951,Thu Nov 17 09:15:47 CET 2022
1232613,1,Test Simple Subscription multiuser,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1952,Thu Nov 17 09:18:38 CET 2022
1232615,1,Simple product,0.2,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1955,Fri Nov 18 14:56:43 CET 2022
1232616,1,Test non simple sub multiuser,22.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1963,Mon Nov 21 16:13:43 CET 2022
1232616,2,Test non simple sub multiuser,22.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,1963,Mon Nov 21 16:13:43 CET 2022
1232633,1,Simple monthly open-ended offer,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2004,Wed Nov 30 11:36:02 CET 2022
1232642,1,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2025,Thu Dec 08 12:40:48 CET 2022
1232643,1,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232644,1,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232644,2,Simple sub future,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232650,1,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232654,1,Simple product,0.2,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2034,Fri Dec 09 09:48:02 CET 2022
1232655,1,Bonus example,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2035,Fri Dec 09 10:46:15 CET 2022
1232655,2,Simple sub future,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2035,Fri Dec 09 10:46:15 CET 2022
1232656,1,asdf,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2036,Fri Dec 09 10:47:44 CET 2022
1232656,2,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2036,Fri Dec 09 10:47:44 CET 2022
1232657,1,asdf,12.0,19.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2050,Mon Dec 12 10:29:44 CET 2022
1232657,2,Simple multiuser,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2050,Mon Dec 12 10:29:44 CET 2022
1232658,1,Bonus example,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232658,2,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232659,1,Bonus example,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232659,2,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232660,1,Bonus example,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232660,2,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,,
1232674,1,Bonus example,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2163,Wed Jan 04 17:56:10 CET 2023
1232674,2,Simple bonus offer,12.0,7.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2163,Wed Jan 04 17:56:10 CET 2023
1232771,1,Bonus examples,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2373,Wed Jan 25 14:10:20 CET 2023
1232771,2,Simple bonus offer,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2373,Wed Jan 25 14:10:20 CET 2023
1232772,1,Bonus examples,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2374,Wed Jan 25 14:57:36 CET 2023
1232772,2,Simple bonus offer,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2374,Wed Jan 25 14:57:36 CET 2023
1232773,1,Bonus examples,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2378,Thu Jan 26 12:01:09 CET 2023
1232773,2,Simple offer with bonus,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2378,Thu Jan 26 12:01:09 CET 2023
1232774,1,Simple product,0.2,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2379,Thu Jan 26 13:05:59 CET 2023
1232775,1,Simple product,0.2,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2380,Thu Jan 26 13:46:38 CET 2023
1232776,1,Simple sub,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2381,Thu Jan 26 14:04:47 CET 2023
1232777,1,Simple product,0.2,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2382,Thu Jan 26 14:11:11 CET 2023
1232778,1,Simple product with bonus for receiver,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2406,Tue Jan 31 13:35:23 CET 2023
1232778,2,Bonus for receiver,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2406,Tue Jan 31 13:35:23 CET 2023
1232779,1,Simple product with bonus for receiver,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2407,Tue Jan 31 13:38:24 CET 2023
1232779,2,Bonus for receiver,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2407,Tue Jan 31 13:38:24 CET 2023
1232780,1,Simple product with bonus for payer,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2408,Tue Jan 31 13:55:13 CET 2023
1232780,2,Bonus for payer,12.0,0.0,9000142,nikola.nedic+myssuser@plenigo.com,Tue Aug 30 14:00:02 CEST 2022,2408,Tue Jan 31 13:55:13 CET 2023
